iter	Passed	Remaining
0	14	14112
1	26	13122
2	38	12901
3	51	12788
4	64	12794
5	76	12615
6	88	12506
7	100	12479
8	112	12385
9	124	12279
10	136	12237
11	148	12226
12	160	12187
13	172	12132
14	184	12089
15	196	12098
16	209	12094
17	220	12042
18	232	11979
19	243	11945
20	255	11910
21	267	11869
22	278	11824
23	290	11796
24	301	11773
25	313	11742
26	324	11701
27	336	11680
28	347	11647
29	359	11637
30	371	11603
31	382	11574
32	393	11542
33	405	11527
34	416	11484
35	428	11467
36	439	11437
37	450	11405
38	462	11389
39	473	11358
40	484	11335
41	496	11323
42	507	11304
43	519	11279
44	530	11255
45	541	11233
46	553	11218
47	564	11202
48	576	11186
49	588	11175
50	600	11167
51	611	11156
52	623	11148
53	635	11131
54	647	11117
55	658	11098
56	670	11084
57	682	11080
58	694	11078
59	705	11057
60	717	11050
61	729	11037
62	740	11019
63	752	11004
64	763	10988
65	775	10974
66	787	10965
67	799	10957
68	810	10942
69	822	10929
70	834	10913
71	845	10903
72	857	10886
73	865	10829
74	876	10815
75	888	10805
76	900	10795
77	912	10788
78	924	10777
79	935	10762
80	947	10746
81	958	10731
82	970	10718
83	985	10742
84	1001	10780
85	1024	10891
86	1037	10889
87	1050	10882
88	1061	10865
89	1073	10849
90	1084	10833
91	1096	10818
92	1107	10802
93	1119	10791
94	1131	10777
95	1142	10757
96	1153	10742
97	1165	10724
98	1176	10710
99	1188	10695
100	1199	10674
101	1210	10660
102	1222	10647
103	1233	10626
104	1244	10608
105	1256	10595
106	1267	10578
107	1279	10566
108	1290	10552
109	1302	10537
110	1314	10524
111	1325	10512
112	1337	10497
113	1349	10484
114	1360	10468
115	1371	10452
116	1382	10437
117	1394	10423
118	1405	10408
119	1417	10396
120	1429	10383
121	1440	10366
122	1452	10358
123	1464	10342
124	1475	10331
125	1487	10318
126	1498	10302
127	1510	10288
128	1521	10275
129	1533	10264
130	1545	10249
131	1556	10235
132	1567	10221
133	1579	10206
134	1590	10193
135	1601	10176
136	1613	10161
137	1624	10147
138	1636	10135
139	1647	10119
140	1658	10103
141	1669	10090
142	1681	10075
143	1692	10063
144	1704	10053
145	1716	10042
146	1728	10029
147	1739	10016
148	1751	10004
149	1763	9991
150	1774	9977
151	1786	9967
152	1798	9953
153	1809	9940
154	1821	9928
155	1832	9914
156	1844	9902
157	1855	9889
158	1867	9876
159	1878	9861
160	1889	9847
161	1901	9836
162	1913	9824
163	1925	9813
164	1936	9799
165	1948	9787
166	1959	9773
167	1970	9760
168	1983	9753
169	1996	9746
170	2007	9732
171	2018	9716
172	2029	9702
173	2041	9689
174	2052	9674
175	2063	9662
176	2074	9647
177	2086	9637
178	2098	9623
179	2108	9607
180	2120	9594
181	2132	9582
182	2143	9569
183	2154	9556
184	2166	9542
185	2177	9530
186	2189	9519
187	2200	9503
188	2211	9490
189	2222	9474
190	2234	9464
191	2245	9451
192	2256	9436
193	2268	9423
194	2279	9411
195	2290	9396
196	2302	9384
197	2314	9373
198	2326	9363
199	2337	9351
200	2349	9338
201	2360	9326
202	2372	9314
203	2383	9301
204	2395	9288
205	2406	9276
206	2418	9264
207	2430	9252
208	2441	9242
209	2453	9228
210	2464	9215
211	2476	9204
212	2488	9193
213	2499	9181
214	2511	9169
215	2522	9156
216	2534	9145
217	2546	9133
218	2557	9120
219	2569	9109
220	2581	9098
221	2592	9086
222	2604	9074
223	2615	9060
224	2627	9050
225	2639	9038
226	2649	9023
227	2661	9012
228	2672	8998
229	2684	8986
230	2695	8974
231	2707	8962
232	2718	8949
233	2730	8936
234	2741	8924
235	2753	8912
236	2764	8900
237	2776	8889
238	2787	8876
239	2799	8864
240	2810	8852
241	2822	8840
242	2834	8829
243	2845	8816
244	2857	8806
245	2868	8793
246	2880	8780
247	2891	8768
248	2902	8755
249	2914	8744
250	2926	8733
251	2937	8720
252	2949	8707
253	2960	8693
254	2971	8682
255	2983	8671
256	2996	8662
257	3007	8650
258	3019	8639
259	3032	8630
260	3043	8617
261	3055	8605
262	3066	8593
263	3078	8581
264	3089	8568
265	3100	8556
266	3112	8543
267	3123	8532
268	3135	8520
